Model,Avg_Final_Acc_mean,Avg_Final_Acc_std,Forgetting_mean,Forgetting_std,BWT_mean,BWT_std,FWT_mean,FWT_std
NCG,0.5510625363815672,0.01575892809881787,0.3306840105722997,0.05768381384100436,-0.4069887056737488,0.07412259795516392,0.024409014845323818,0.03401198147625329
NCG-NoGrowth,0.5524264102735851,0.005022942460337611,0.37257306196626716,0.024318183155833527,-0.465716327457834,0.04305143324017043,0.03913006756566577,0.037463512389076935
NCG-FixedMeta,0.5572655213454064,0.009173715784531647,0.3559871450083613,0.04779829180926724,-0.44498393126045166,0.07576637489401272,0.051093047004869524,0.028341809956442122
DEN,0.5802671147654831,0.024410102381559832,0.41707711517745344,0.024428119392740116,-0.5213463939718168,0.030535149240925142,0.03165828179384009,0.00852128167227596
StaticMLP-256,0.5786327431976184,0.016546340928598812,0.41881862145302284,0.016543379846608513,-0.5235232768162785,0.020679224808260652,0.035321579126482025,0.008828934043769696
StaticMLP-512,0.5722206657452931,0.017379308079429476,0.42511686177230734,0.017430191003378222,-0.5313960772153842,0.02178773875422278,0.03368644784235736,0.007623291951546221
EWC,0.7316440945657618,0.05741869047377217,0.22861923547699564,0.07212529065645253,-0.28577404434624454,0.09068068423362172,0.026248928275305283,0.02684628618459997
