Model,Avg_Final_Acc,Forgetting,BWT,FWT
NCG,0.5510625363815672,0.3306840105722997,-0.4069887056737488,0.024409014845323818
NCG-NoGrowth,0.5524264102735851,0.37257306196626716,-0.465716327457834,0.03913006756566577
NCG-FixedMeta,0.5572655213454064,0.3559871450083613,-0.44498393126045166,0.051093047004869524
DEN,0.5802671147654831,0.41707711517745344,-0.5213463939718168,0.03165828179384009
StaticMLP-256,0.5786327431976184,0.41881862145302284,-0.5235232768162785,0.035321579126482025
StaticMLP-512,0.5722206657452931,0.42511686177230734,-0.5313960772153842,0.03368644784235736
EWC,0.7316440945657618,0.22861923547699564,-0.28577404434624454,0.026248928275305283
