Model,Avg_Final_Acc_mean,Avg_Final_Acc_std,Forgetting_mean,Forgetting_std,BWT_mean,BWT_std,FWT_mean,FWT_std
NCG,0.6731,0.01580963138230757,0.08349,0.043769518820496275,-0.08631249999999999,0.05681103698764098,0.0605125,0.00927856887013174
NCG-NoGrowth,0.6656299999999999,0.024247338914702474,0.10309999999999997,0.03522647363055866,-0.10791249999999997,0.05136802297852452,0.07578750000000001,0.02113753326431446
NCG-FixedMeta,0.6729200000000001,0.020176818381499123,0.09592,0.028106559139579258,-0.11873750000000002,0.03969346302534518,0.07728750000000001,0.019455170156884607
DEN,0.68774,0.00603530354571238,0.22222999999999998,0.005413162969404599,-0.27778749999999997,0.0067664537117557546,0.08799999999999997,0.010530709061280405
StaticMLP-256,0.6832800000000001,0.01056133409081344,0.23000999999999996,0.010487606442315075,-0.28751249999999995,0.013109508052893851,0.0857125,0.006537830616241639
StaticMLP-512,0.6867,0.013267169169712796,0.22711999999999993,0.013585351588301939,-0.28389999999999993,0.016981689485377417,0.08778749999999996,0.008504502483978714
EWC,0.70198,0.015689543580926054,0.16273000000000004,0.02322919857994818,-0.20341250000000005,0.029036498224935228,0.08757499999999999,0.01185813129366418
