Model,Avg_Final_Acc,Forgetting,BWT,FWT
NCG,0.6731,0.08349,-0.08631249999999999,0.0605125
NCG-NoGrowth,0.6656299999999999,0.10309999999999997,-0.10791249999999997,0.07578750000000001
NCG-FixedMeta,0.6729200000000001,0.09592,-0.11873750000000002,0.07728750000000001
DEN,0.68774,0.22222999999999998,-0.27778749999999997,0.08799999999999997
StaticMLP-256,0.6832800000000001,0.23000999999999996,-0.28751249999999995,0.0857125
StaticMLP-512,0.6867,0.22711999999999993,-0.28389999999999993,0.08778749999999996
EWC,0.70198,0.16273000000000004,-0.20341250000000005,0.08757499999999999
